Date : 2022-10-17 12:46:04
Directory : /home/matheus/Desenvolvimento/souconteudista/src
Total : 51 files,  2635 codes, 22 comments, 225 blanks, all 2882 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript React |         47 |      2,530 |         21 |        215 |      2,766 |
| TypeScript       |          2 |         70 |          1 |          8 |         79 |
| XML              |          2 |         35 |          0 |          2 |         37 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |         51 |      2,635 |         22 |        225 |      2,882 |
| modules                                                                                                              |         44 |      2,362 |         21 |        180 |      2,563 |
| modules/areas                                                                                                        |          4 |         83 |          0 |          5 |         88 |
| modules/areas/components                                                                                             |          2 |         11 |          0 |          1 |         12 |
| modules/areas/components/CreateArea                                                                                  |          1 |          3 |          0 |          0 |          3 |
| modules/areas/components/UpdateArea                                                                                  |          1 |          8 |          0 |          1 |          9 |
| modules/areas/pages                                                                                                  |          2 |         72 |          0 |          4 |         76 |
| modules/areas/pages/FilteredDisciplinas                                                                              |          1 |         39 |          0 |          2 |         41 |
| modules/areas/pages/ListAreas                                                                                        |          1 |         33 |          0 |          2 |         35 |
| modules/autores                                                                                                      |          1 |         35 |          0 |          2 |         37 |
| modules/autores/pages                                                                                                |          1 |         35 |          0 |          2 |         37 |
| modules/autores/pages/ListAutores                                                                                    |          1 |         35 |          0 |          2 |         37 |
| modules/competencias                                                                                                 |          3 |         60 |          0 |          3 |         63 |
| modules/competencias/components                                                                                      |          2 |          8 |          0 |          0 |          8 |
| modules/competencias/components/CreateCompetenciaModalPPC                                                            |          1 |          3 |          0 |          0 |          3 |
| modules/competencias/components/UpdateCompetenciaModal                                                               |          1 |          5 |          0 |          0 |          5 |
| modules/competencias/pages                                                                                           |          1 |         52 |          0 |          3 |         55 |
| modules/competencias/pages/FilteredCompetencia                                                                       |          1 |         52 |          0 |          3 |         55 |
| modules/cursos                                                                                                       |          3 |         51 |          0 |          3 |         54 |
| modules/cursos/components                                                                                            |          2 |         14 |          0 |          0 |         14 |
| modules/cursos/components/CreateCurso                                                                                |          1 |          6 |          0 |          0 |          6 |
| modules/cursos/components/UpdateCurso                                                                                |          1 |          8 |          0 |          0 |          8 |
| modules/cursos/pages                                                                                                 |          1 |         37 |          0 |          3 |         40 |
| modules/cursos/pages/ListCursos                                                                                      |          1 |         37 |          0 |          3 |         40 |
| modules/disciplinas                                                                                                  |          7 |        473 |          1 |         41 |        515 |
| modules/disciplinas/components                                                                                       |          5 |        382 |          1 |         37 |        420 |
| modules/disciplinas/components/CreateDisciplina                                                                      |          1 |          5 |          0 |          0 |          5 |
| modules/disciplinas/components/CreateDisciplinaFiltered                                                              |          1 |          3 |          0 |          0 |          3 |
| modules/disciplinas/components/CreateDisciplinaPPC                                                                   |          1 |          0 |          1 |         -1 |          0 |
| modules/disciplinas/components/UpdateDisciplina                                                                      |          1 |          7 |          0 |          0 |          7 |
| modules/disciplinas/components/UpdateDisciplinaPPC                                                                   |          1 |        367 |          0 |         38 |        405 |
| modules/disciplinas/pages                                                                                            |          2 |         91 |          0 |          4 |         95 |
| modules/disciplinas/pages/FilteredVersoes                                                                            |          1 |         45 |          0 |          2 |         47 |
| modules/disciplinas/pages/ListDisciplinas                                                                            |          1 |         46 |          0 |          2 |         48 |
| modules/home                                                                                                         |          2 |        223 |          1 |          7 |        231 |
| modules/home/pages                                                                                                   |          2 |        223 |          1 |          7 |        231 |
| modules/home/pages/Home                                                                                              |          2 |        223 |          1 |          7 |        231 |
| modules/instituicoes                                                                                                 |          5 |        573 |          1 |         50 |        624 |
| modules/instituicoes/components                                                                                      |          3 |        367 |          1 |         31 |        399 |
| modules/instituicoes/components/CreateInstituicoes                                                                   |          1 |        132 |          0 |         10 |        142 |
| modules/instituicoes/components/DeleteInstituicao                                                                    |          1 |         61 |          1 |          8 |         70 |
| modules/instituicoes/components/UpdateInstituicoes                                                                   |          1 |        174 |          0 |         13 |        187 |
| modules/instituicoes/pages                                                                                           |          1 |        197 |          0 |         16 |        213 |
| modules/instituicoes/pages/ListInstituicoes                                                                          |          1 |        197 |          0 |         16 |        213 |
| modules/instituicoes/routes                                                                                          |          1 |          9 |          0 |          3 |         12 |
| modules/obras                                                                                                        |          5 |        -14 |          9 |         25 |         20 |
| modules/obras/components                                                                                             |          4 |        -34 |          9 |         26 |          1 |
| modules/obras/components/CreateObraAutorModal                                                                        |          1 |          3 |          0 |          1 |          4 |
| modules/obras/components/CreateObrasModal                                                                            |          1 |        -27 |          8 |         14 |         -5 |
| modules/obras/components/DeleteObra                                                                                  |          1 |         56 |          1 |          8 |         65 |
| modules/obras/components/UpdateObraModal                                                                             |          1 |        -66 |          0 |          3 |        -63 |
| modules/obras/pages                                                                                                  |          1 |         20 |          0 |         -1 |         19 |
| modules/obras/pages/ListObras                                                                                        |          1 |         20 |          0 |         -1 |         19 |
| modules/perfis                                                                                                       |          3 |        110 |          0 |          4 |        114 |
| modules/perfis/components                                                                                            |          2 |         18 |          0 |          0 |         18 |
| modules/perfis/components/CreatePerfilModalPPC                                                                       |          1 |          8 |          0 |          0 |          8 |
| modules/perfis/components/UpdatePerfilModal                                                                          |          1 |         10 |          0 |          0 |         10 |
| modules/perfis/pages                                                                                                 |          1 |         92 |          0 |          4 |         96 |
| modules/perfis/pages/FilteredPerfil                                                                                  |          1 |         92 |          0 |          4 |         96 |
| modules/ppcs                                                                                                         |          4 |        235 |          0 |         11 |        246 |
| modules/ppcs/components                                                                                              |          2 |         46 |          0 |          2 |         48 |
| modules/ppcs/components/CreatePPC                                                                                    |          1 |          3 |          0 |          0 |          3 |
| modules/ppcs/components/UpdatePPC                                                                                    |          1 |         43 |          0 |          2 |         45 |
| modules/ppcs/pages                                                                                                   |          2 |        189 |          0 |          9 |        198 |
| modules/ppcs/pages/ListPpcInfo                                                                                       |          1 |        139 |          0 |          6 |        145 |
| modules/ppcs/pages/ListPpcsCurso                                                                                     |          1 |         50 |          0 |          3 |         53 |
| modules/versoes                                                                                                      |          7 |        533 |          9 |         29 |        571 |
| modules/versoes/components                                                                                           |          4 |        215 |          4 |         10 |        229 |
| modules/versoes/components/CraeteFilteredVersaoModal                                                                 |          1 |          3 |          0 |          0 |          3 |
| modules/versoes/components/CreateVersaoModal                                                                         |          1 |          5 |          0 |          0 |          5 |
