"filename", "language", "TypeScript React", "XML", "TypeScript", "comment", "blank", "total"
"/home/matheus/Desenvolvimento/souconteudista/src/App.tsx", "TypeScript React", 17, 0, 0, 0, 4, 21
"/home/matheus/Desenvolvimento/souconteudista/src/index.tsx", "TypeScript React", 9, 0, 0, 0, 3, 12
"/home/matheus/Desenvolvimento/souconteudista/src/modules/areas/components/CreateArea/index.tsx", "TypeScript React", 115, 0, 0, 0, 10, 125
"/home/matheus/Desenvolvimento/souconteudista/src/modules/areas/components/DeleteArea/index.tsx", "TypeScript React", 56, 0, 0, 1, 8, 65
"/home/matheus/Desenvolvimento/souconteudista/src/modules/areas/components/UpdateArea/index.tsx", "TypeScript React", 137, 0, 0, 0, 14, 151
"/home/matheus/Desenvolvimento/souconteudista/src/modules/areas/pages/FilteredDisciplinas/index.tsx", "TypeScript React", 235, 0, 0, 0, 20, 255
"/home/matheus/Desenvolvimento/souconteudista/src/modules/areas/pages/ListAreas/index.tsx", "TypeScript React", 238, 0, 0, 0, 16, 254
"/home/matheus/Desenvolvimento/souconteudista/src/modules/areas/routes/index.tsx", "TypeScript React", 11, 0, 0, 0, 3, 14
"/home/matheus/Desenvolvimento/souconteudista/src/modules/arquetipos/pages/ListArquetipos/index.tsx", "TypeScript React", 261, 0, 0, 0, 13, 274
"/home/matheus/Desenvolvimento/souconteudista/src/modules/arquetipos/routes/index.tsx", "TypeScript React", 9, 0, 0, 0, 3, 12
"/home/matheus/Desenvolvimento/souconteudista/src/modules/autores/components/CreateAutoresModal/index.tsx", "TypeScript React", 136, 0, 0, 0, 11, 147
"/home/matheus/Desenvolvimento/souconteudista/src/modules/autores/components/DeleteAutor/index.tsx", "TypeScript React", 56, 0, 0, 1, 8, 65
"/home/matheus/Desenvolvimento/souconteudista/src/modules/autores/components/UpdateAutoresModal/index.tsx", "TypeScript React", 175, 0, 0, 0, 15, 190
"/home/matheus/Desenvolvimento/souconteudista/src/modules/autores/pages/ListAutores/index.tsx", "TypeScript React", 231, 0, 0, 1, 18, 250
"/home/matheus/Desenvolvimento/souconteudista/src/modules/autores/routes/index.tsx", "TypeScript React", 9, 0, 0, 0, 3, 12
"/home/matheus/Desenvolvimento/souconteudista/src/modules/competencias/components/CreateCompetenciaModalPPC/index.tsx", "TypeScript React", 123, 0, 0, 0, 10, 133
"/home/matheus/Desenvolvimento/souconteudista/src/modules/competencias/components/DeleteCompetencia/index.tsx", "TypeScript React", 56, 0, 0, 1, 8, 65
"/home/matheus/Desenvolvimento/souconteudista/src/modules/competencias/components/UpdateCompetenciaModal/index.tsx", "TypeScript React", 151, 0, 0, 0, 13, 164
"/home/matheus/Desenvolvimento/souconteudista/src/modules/competencias/pages/FilteredCompetencia/index.tsx", "TypeScript React", 196, 0, 0, 0, 20, 216
"/home/matheus/Desenvolvimento/souconteudista/src/modules/cursos/components/CreateCurso/index.tsx", "TypeScript React", 103, 0, 0, 0, 15, 118
"/home/matheus/Desenvolvimento/souconteudista/src/modules/cursos/components/CursoCard/index.tsx", "TypeScript React", 49, 0, 0, 0, 10, 59
"/home/matheus/Desenvolvimento/souconteudista/src/modules/cursos/components/CursoCard/styles.ts", "TypeScript", 0, 0, 37, 2, 9, 48
"/home/matheus/Desenvolvimento/souconteudista/src/modules/cursos/components/DeleteCurso/index.tsx", "TypeScript React", 56, 0, 0, 1, 8, 65
"/home/matheus/Desenvolvimento/souconteudista/src/modules/cursos/components/UpdateCurso/index.tsx", "TypeScript React", 142, 0, 0, 0, 17, 159
"/home/matheus/Desenvolvimento/souconteudista/src/modules/cursos/pages/ListCursos/index.tsx", "TypeScript React", 169, 0, 0, 1, 19, 189
"/home/matheus/Desenvolvimento/souconteudista/src/modules/cursos/routes/index.tsx", "TypeScript React", 17, 0, 0, 0, 4, 21
"/home/matheus/Desenvolvimento/souconteudista/src/modules/disciplinas/components/CreateDisciplina/index.tsx", "TypeScript React", 147, 0, 0, 0, 12, 159
"/home/matheus/Desenvolvimento/souconteudista/src/modules/disciplinas/components/CreateDisciplinaFiltered/index.tsx", "TypeScript React", 119, 0, 0, 0, 10, 129
"/home/matheus/Desenvolvimento/souconteudista/src/modules/disciplinas/components/CreateDisciplinaPPC/index.tsx", "TypeScript React", 375, 0, 0, 57, 28, 460
"/home/matheus/Desenvolvimento/souconteudista/src/modules/disciplinas/components/DeleteDisciplina/index.tsx", "TypeScript React", 56, 0, 0, 1, 8, 65
"/home/matheus/Desenvolvimento/souconteudista/src/modules/disciplinas/components/DeleteDisciplinaPPC/index.tsx", "TypeScript React", 61, 0, 0, 1, 8, 70
